station_id,station_name,sensor,url,date,min,max,median,q1,q3,stdev,count
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-25T00:00:00.000Z,4.76,18.94,8.14,6.58,10.76,3.606,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-26T00:00:00.000Z,5.59,29.46,23.04,9.53,24.94,8.048,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-27T00:00:00.000Z,9.14,22.59,17.54,12.33,20.01,4.136,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-28T00:00:00.000Z,19.41,21.49,20.38,20.16,20.66,0.463,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-29T00:00:00.000Z,19.64,21.53,20.89,20.66,21.19,0.474,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-30T00:00:00.000Z,16.28,27.4,20.05,18.47,21.45,2.695,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-07-31T00:00:00.000Z,16.17,20.14,18.87,18.03,19.39,0.926,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-01T00:00:00.000Z,17.6,27.68,20.22,18.55,21.13,2.148,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-02T00:00:00.000Z,15.81,51.31,20.92,19.35,35.15,11.282,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-03T00:00:00.000Z,18.16,48.44,28.17,21.96,38.9,9.503,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-04T00:00:00.000Z,15.91,39.84,24.86,21.3,29.24,6.42,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-05T00:00:00.000Z,22.44,40.09,28.45,24.43,32.21,5.336,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-06T00:00:00.000Z,5.72,28.38,19.76,11.41,21.64,6.605,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-07T00:00:00.000Z,7.87,25.71,15.99,12.2,20.98,5.392,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-08T00:00:00.000Z,9.73,22.82,14.59,13.15,16.61,3.422,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-09T00:00:00.000Z,10.81,27.82,22.03,18.6,23.5,4.524,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-10T00:00:00.000Z,13.46,25.6,21.67,16.48,24.23,3.97,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-11T00:00:00.000Z,18.07,52.15,22.84,19.72,26.57,8.52,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-12T00:00:00.000Z,17.42,51.11,23.74,21.19,26.39,8.613,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-13T00:00:00.000Z,12.86,29.13,19.88,18.7,24.69,4.051,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-14T00:00:00.000Z,23.6,60.46,30.25,25.13,39.4,10.407,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-15T00:00:00.000Z,8.88,27.97,15.12,10.79,20.91,5.92,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-16T00:00:00.000Z,8.25,38.79,27.39,17.19,31.41,9.59,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-17T00:00:00.000Z,7.87,24.61,16.02,10.49,19.32,5.212,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-18T00:00:00.000Z,11.32,44.53,23.98,20.36,31.57,9.057,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-19T00:00:00.000Z,1.77,29.86,13.26,6.56,17.22,7.725,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-20T00:00:00.000Z,1.45,25.41,12.11,7.47,15.84,6.363,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-21T00:00:00.000Z,8.44,38.13,17.44,13.91,21.12,6.603,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-22T00:00:00.000Z,2.6,29.66,6.92,4.67,10.5,7.714,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-23T00:00:00.000Z,7.08,25.75,17.2,13.38,22.33,5.16,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-24T00:00:00.000Z,13,47.89,24.81,19.96,31.44,9.512,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-25T00:00:00.000Z,1.35,23.63,9.4,4.78,17.2,6.938,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-26T00:00:00.000Z,8.52,42.01,17.36,15.46,21.87,7.599,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-27T00:00:00.000Z,7.81,30.78,20.57,13.86,23.45,6.53,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-28T00:00:00.000Z,9.46,26.39,14.42,12.35,20.44,4.861,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-29T00:00:00.000Z,16.3,54.81,32.27,24.46,44.86,11.302,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-30T00:00:00.000Z,24.79,39.47,27.29,26.16,30.24,3.449,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-08-31T00:00:00.000Z,5.38,31.41,26.17,23.82,28.31,7.212,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-01T00:00:00.000Z,13.81,51.9,23.3,19.48,27.4,8.804,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-02T00:00:00.000Z,3.69,24.99,13.05,8.44,16.92,5.749,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-03T00:00:00.000Z,2.29,26.47,11.44,4.74,15.75,7.098,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-04T00:00:00.000Z,2.39,23.27,6.52,3.92,8.65,4.348,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-05T00:00:00.000Z,4.63,21.28,12.43,6.9,16.88,5.173,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-06T00:00:00.000Z,6.23,29.29,17.61,14.08,20.94,5.749,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-07T00:00:00.000Z,11.61,31.61,18.68,14.43,21.47,4.839,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-08T00:00:00.000Z,9.9,41.04,18.09,16.23,20.86,8.109,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-09T00:00:00.000Z,3.32,20.81,9,5.66,11.01,4.329,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-10T00:00:00.000Z,4.46,26.52,16.78,12.68,23.38,6.498,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-11T00:00:00.000Z,11.69,98.69,26.9,19.57,54.07,25.572,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-12T00:00:00.000Z,8.03,38.82,20.18,16.09,25.81,7.336,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-13T00:00:00.000Z,0.71,26.08,14.81,5.33,21.81,8.564,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-14T00:00:00.000Z,5.68,48.8,24.09,17.02,33,12.3,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-15T00:00:00.000Z,1.82,34.06,17.05,9.1,25.62,9.491,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-16T00:00:00.000Z,9.38,49.11,26.46,19.98,30.73,9.373,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-17T00:00:00.000Z,22.74,35.21,27.77,25.81,31.17,3.546,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-18T00:00:00.000Z,14.77,29.27,21.86,19.98,23.34,3.704,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-19T00:00:00.000Z,12.74,42.13,21.27,15.09,24.06,7.517,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-20T00:00:00.000Z,4.23,35.56,12.97,7.32,18.7,7.436,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-21T00:00:00.000Z,1.34,14.02,4.38,2.92,7.1,3.166,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-22T00:00:00.000Z,0.38,11.98,3.27,1.83,5.88,2.76,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-23T00:00:00.000Z,5.16,15.88,7.03,6.18,8.41,2.627,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-24T00:00:00.000Z,10.7,34.4,21.77,14.32,25.78,6.696,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-25T00:00:00.000Z,12.89,46.59,26.49,20.67,40.76,10.813,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-26T00:00:00.000Z,0.02,30.08,2.9,0.26,19.1,10.084,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-27T00:00:00.000Z,8.34,70.73,26.78,13.6,34.76,16.789,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-28T00:00:00.000Z,8.44,47.9,20.35,11.71,30.51,11.859,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-29T00:00:00.000Z,4.88,74.7,30.38,14.39,56.19,23.23,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-09-30T00:00:00.000Z,5.53,55.19,17.27,10.89,31.02,14.256,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-01T00:00:00.000Z,18.48,51.56,22.18,19.23,28.67,8.627,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-02T00:00:00.000Z,13.64,30.89,21.14,17.59,24.33,4.317,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-03T00:00:00.000Z,6.58,31.03,19.64,15.08,25.56,7.052,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-04T00:00:00.000Z,13.3,28.32,23.13,18.8,26.31,4.77,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-05T00:00:00.000Z,17.55,66.4,24.45,20.2,27.37,13.314,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-06T00:00:00.000Z,7.42,50.99,23.27,18.71,30.96,11.265,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-07T00:00:00.000Z,11.61,40.09,15.67,12.71,22.29,7.335,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-08T00:00:00.000Z,12.19,50.14,22.41,16.02,31.67,11.389,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-09T00:00:00.000Z,10.48,31.1,16.51,14.86,20.6,4.541,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-10T00:00:00.000Z,27.82,51,36.79,33.26,41.82,6.129,24
544786,"Caloocan Sports Complex, District 1, Philippines","Clarity/dmrbb2026","https://aqicn.org/station/@544786/",2025-10-11T00:00:00.000Z,19.34,88.79,38.2,34.1,52.58,17.387,24
