location_name,location_id,sensor_id,utc_timestamp,local_timestamp,pm25_value,parameter,unit
Near Puregold Tayuman,6303935,15922109,2026-04-14T22:00:00Z,2026-04-15T06:00:00+08:00,23.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T05:00:00Z,2026-04-15T13:00:00+08:00,19.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T06:00:00Z,2026-04-15T14:00:00+08:00,15.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T09:00:00Z,2026-04-15T17:00:00+08:00,19.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T10:00:00Z,2026-04-15T18:00:00+08:00,23.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T11:00:00Z,2026-04-15T19:00:00+08:00,28.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T12:00:00Z,2026-04-15T20:00:00+08:00,23.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T13:00:00Z,2026-04-15T21:00:00+08:00,24.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T14:00:00Z,2026-04-15T22:00:00+08:00,22.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T15:00:00Z,2026-04-15T23:00:00+08:00,13.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T16:00:00Z,2026-04-16T00:00:00+08:00,16.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T18:00:00Z,2026-04-16T02:00:00+08:00,27.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T19:00:00Z,2026-04-16T03:00:00+08:00,25.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T20:00:00Z,2026-04-16T04:00:00+08:00,23.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-15T23:00:00Z,2026-04-16T07:00:00+08:00,38.5,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T00:00:00Z,2026-04-16T08:00:00+08:00,39.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T01:00:00Z,2026-04-16T09:00:00+08:00,31.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T02:00:00Z,2026-04-16T10:00:00+08:00,32.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T03:00:00Z,2026-04-16T11:00:00+08:00,28.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T04:00:00Z,2026-04-16T12:00:00+08:00,27.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T05:00:00Z,2026-04-16T13:00:00+08:00,27.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T06:00:00Z,2026-04-16T14:00:00+08:00,26.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T07:00:00Z,2026-04-16T15:00:00+08:00,27.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T09:00:00Z,2026-04-16T17:00:00+08:00,36.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T11:00:00Z,2026-04-16T19:00:00+08:00,35.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T12:00:00Z,2026-04-16T20:00:00+08:00,32.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T14:00:00Z,2026-04-16T22:00:00+08:00,45.0,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T15:00:00Z,2026-04-16T23:00:00+08:00,35.8,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T16:00:00Z,2026-04-17T00:00:00+08:00,35.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T17:00:00Z,2026-04-17T01:00:00+08:00,25.9,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-16T18:00:00Z,2026-04-17T02:00:00+08:00,26.3,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T01:00:00Z,2026-04-17T09:00:00+08:00,47.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T02:00:00Z,2026-04-17T10:00:00+08:00,47.4,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T03:00:00Z,2026-04-17T11:00:00+08:00,55.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T12:00:00Z,2026-04-17T20:00:00+08:00,66.6,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T13:00:00Z,2026-04-17T21:00:00+08:00,73.2,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T14:00:00Z,2026-04-17T22:00:00+08:00,73.7,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T15:00:00Z,2026-04-17T23:00:00+08:00,57.1,PM2.5,µg/m³
Near Puregold Tayuman,6303935,15922109,2026-04-17T16:00:00Z,2026-04-18T00:00:00+08:00,54.4,PM2.5,µg/m³
